date,channel_id,video_id,live_or_on_demand,subscribed_status,country_code,views,comments,likes,dislikes,shares,watch_time_minutes,average_view_duration_seconds,average_view_duration_percentage,annotation_impressions,annotation_clickable_impressions,annotation_clicks,annotation_click_through_rate,annotation_closable_impressions,annotation_closes,annotation_close_rate,card_teaser_impressions,card_teaser_clicks,card_teaser_click_rate,card_impressions,card_clicks,card_click_rate,subscribers_gained,subscribers_lost,videos_added_to_playlists,videos_removed_from_playlists,red_views,red_watch_time_minutes
20231001,b3aae0c1-8e21-4100-9def-5093d454022f,45fc30f6-2682-42eb-8a7b-cc51d8077c48,on_demand,not_subscribed,UG,2674,455,575,479,297,4704.5915981316,644.0557621299955,0.276436,101,98,143,0.8627046009037853,420,102,0.6316532764924719,416,328,0.25832471745418284,838,398,0.06761966314016365,36,375,930,348,758,9952.651607123447
20230930,b3aae0c1-8e21-4100-9def-5093d454022f,a5e5043e-d12f-4ebd-aa76-f27de0d1bdbb,on_demand,not_subscribed,BO,7485,471,25,703,494,1238.8252554738376,2071.914123750194,0.972828,533,428,117,0.17745861886058567,73,33,0.5246926318299338,47,419,0.6166828744198447,790,72,0.5765342937203438,869,29,42,27,714,7979.919612176337
20230924,b3aae0c1-8e21-4100-9def-5093d454022f,45fc30f6-2682-42eb-8a7b-cc51d8077c48,live,subscribed,US,6924,269,755,825,350,1441.5297332060172,2199.967289994339,0.954076,681,328,213,0.6231096285241534,269,50,0.4787105338805826,542,189,0.5469458655045313,54,150,0.21542964479327797,591,191,112,95,211,6151.786229148659
20230929,b3aae0c1-8e21-4100-9def-5093d454022f,a5ce5123-bc8f-432f-af10-5b7046808e77,on_demand,not_subscribed,QA,9739,54,972,43,276,8489.539855838115,2388.350319604313,0.206519,486,64,165,0.15760906140928854,243,113,0.7057621722856331,841,13,0.748195982478251,183,395,0.6332433311478068,383,266,535,362,323,4335.926958707592
20231001,b3aae0c1-8e21-4100-9def-5093d454022f,cae7a02f-b2b3-4619-ad4d-620f470a7182,on_demand,not_subscribed,BG,608,384,907,400,210,6536.779130420848,2040.9178851767674,0.087031,802,307,215,0.7410644649710068,312,21,0.8565805136744028,326,156,0.4975262718732266,313,266,0.9062026628830169,536,304,817,340,600,8443.387974776198
20230928,b3aae0c1-8e21-4100-9def-5093d454022f,723ad3be-64b7-4c4e-8086-85ea199c2979,on_demand,subscribed,ZW,7274,182,629,880,170,2110.09557755086,2798.6144390957884,0.917335,341,464,215,0.9132458067080063,63,247,0.6912402242095248,459,222,0.3880191897344164,63,108,0.5832186207769297,385,174,461,436,192,1545.5492682897132
20230930,b3aae0c1-8e21-4100-9def-5093d454022f,a5e5043e-d12f-4ebd-aa76-f27de0d1bdbb,live,subscribed,US,4924,91,487,643,258,9951.19422044075,938.952966037719,0.405689,209,96,71,0.46689379003908615,48,83,0.36674678508390324,41,233,0.10378456387186297,471,461,0.5477286722774861,125,92,849,226,270,8048.805093002224
20230928,b3aae0c1-8e21-4100-9def-5093d454022f,723ad3be-64b7-4c4e-8086-85ea199c2979,on_demand,not_subscribed,US,4212,147,301,877,95,9461.637333865237,2421.3840842881746,0.780933,136,98,136,0.614546324135029,70,69,0.28373990112788805,670,167,0.6519028442783161,430,474,0.44723700270721556,786,153,784,448,89,9648.981525310277
20230927,b3aae0c1-8e21-4100-9def-5093d454022f,cae7a02f-b2b3-4619-ad4d-620f470a7182,on_demand,subscribed,US,7595,55,732,58,457,2393.702272711632,2433.021199427847,0.804325,848,390,24,0.470350468172661,190,191,0.3438459721780647,556,49,0.9368960941955138,695,385,0.21404340156105728,111,255,55,201,994,894.4140058265082
20230926,b3aae0c1-8e21-4100-9def-5093d454022f,a5e5043e-d12f-4ebd-aa76-f27de0d1bdbb,on_demand,not_subscribed,US,1555,143,137,401,368,4772.5173902068655,921.8462273319135,0.688719,706,405,162,0.6045009271362952,378,28,0.007127941617252609,986,83,0.08555462921132018,389,172,0.8742870882882663,420,377,583,451,593,3645.3017309696866
20230929,b3aae0c1-8e21-4100-9def-5093d454022f,a5ce5123-bc8f-432f-af10-5b7046808e77,on_demand,not_subscribed,TR,188,152,861,5,324,9557.815549960349,1543.779984195594,0.688531,101,156,95,0.9639877503059591,90,183,0.401478406008258,530,283,0.6438693596351122,940,33,0.053997575437891854,682,342,899,179,165,270.78003103573667
20230926,b3aae0c1-8e21-4100-9def-5093d454022f,45fc30f6-2682-42eb-8a7b-cc51d8077c48,live,subscribed,SM,537,404,237,703,143,8503.546129998029,2996.1825335643807,0.526244,51,218,105,0.5381408396361959,130,15,0.33187471132469837,453,94,0.010371710668189427,161,136,0.11054704884008104,523,26,902,19,853,9341.826700678963
20230929,b3aae0c1-8e21-4100-9def-5093d454022f,cae7a02f-b2b3-4619-ad4d-620f470a7182,on_demand,not_subscribed,TH,4932,325,182,685,477,4034.278292931013,1439.0755796410701,0.208406,186,446,244,0.09713107655727637,304,113,0.28700665023854277,393,287,0.12187913186031196,98,99,0.17802865115304645,191,407,985,106,825,7385.7992192475085
20230925,b3aae0c1-8e21-4100-9def-5093d454022f,a5e5043e-d12f-4ebd-aa76-f27de0d1bdbb,live,subscribed,MC,2645,488,869,469,230,9327.124276156625,1303.400972856295,0.204577,765,418,169,0.9203068756354709,108,26,0.19900429871656,776,392,0.6093147030008965,581,266,0.3416698315615839,824,34,845,156,332,8307.875930621605
20230925,b3aae0c1-8e21-4100-9def-5093d454022f,45fc30f6-2682-42eb-8a7b-cc51d8077c48,on_demand,subscribed,US,8917,213,27,387,386,1864.0434845581844,2806.047180390773,0.018099,138,8,197,0.13419462370860757,495,27,0.6585945080331431,589,475,0.8218719880255737,362,253,0.7716135650627735,178,73,974,167,573,7017.217769077945
20230927,b3aae0c1-8e21-4100-9def-5093d454022f,723ad3be-64b7-4c4e-8086-85ea199c2979,live,subscribed,QA,8427,349,245,663,451,2195.653753911456,2166.206223146816,0.644284,938,296,176,0.9555943730955314,253,187,0.2087039824135143,754,479,0.3306291507576099,734,375,0.3684925725358732,578,117,105,74,497,9049.012568023134
20231001,b3aae0c1-8e21-4100-9def-5093d454022f,a5e5043e-d12f-4ebd-aa76-f27de0d1bdbb,on_demand,not_subscribed,US,9222,478,984,696,497,4571.434574733507,1120.6564153674503,0.139595,490,112,95,0.016124602976996805,241,157,0.6266498037561673,203,306,0.5452072587813837,224,102,0.7464907288899439,524,359,298,55,272,4292.2055064960405
20230927,b3aae0c1-8e21-4100-9def-5093d454022f,a5ce5123-bc8f-432f-af10-5b7046808e77,live,not_subscribed,US,8503,352,550,806,27,164.38382871813207,1078.757746443225,0.26929,539,99,215,0.22716978197638382,428,7,0.2727334176897772,522,275,0.6702867605046304,919,328,0.05164000286954662,264,314,840,365,768,1927.4385454190701
20231001,b3aae0c1-8e21-4100-9def-5093d454022f,a5e5043e-d12f-4ebd-aa76-f27de0d1bdbb,on_demand,not_subscribed,GN,5894,91,523,881,288,7826.716112923487,2527.7042143410085,0.102724,690,300,224,0.7672511225201497,6,202,0.15963546379887983,234,134,0.8728935215627108,64,388,0.824976580832168,987,99,405,73,570,4704.55922766306
20231001,b3aae0c1-8e21-4100-9def-5093d454022f,a5ce5123-bc8f-432f-af10-5b7046808e77,live,not_subscribed,US,8641,431,33,314,460,2135.0668410739327,1550.9123161280709,0.112336,878,151,234,0.9545830187454852,85,166,0.7220531139263953,314,462,0.7961171701897649,33,242,0.061296537126136696,862,371,565,96,326,3710.8896235051902
20230929,b3aae0c1-8e21-4100-9def-5093d454022f,cae7a02f-b2b3-4619-ad4d-620f470a7182,live,not_subscribed,DO,9737,379,181,897,367,9688.350584544038,1974.8688760948291,0.483278,517,316,44,0.20297875020435774,361,3,0.9074671430735899,710,158,0.3379716757977296,954,389,0.06027749575421604,701,103,51,174,983,7379.809212746544
20230924,b3aae0c1-8e21-4100-9def-5093d454022f,a5ce5123-bc8f-432f-af10-5b7046808e77,on_demand,subscribed,US,2291,1,336,848,117,3298.9563776166588,609.5456275497893,0.77288,979,171,139,0.2833657064192311,266,208,0.9542694200139689,259,185,0.482690308392713,596,194,0.7514406250899057,91,319,501,379,733,2245.7107052716683
20230927,b3aae0c1-8e21-4100-9def-5093d454022f,a5ce5123-bc8f-432f-af10-5b7046808e77,on_demand,subscribed,MY,5136,311,136,287,239,3623.0789350685254,292.8911332307206,0.042683,698,478,181,0.9495015304139539,487,89,0.48000739262371095,743,357,0.8144458947593369,723,288,0.0932151251403277,5,487,265,77,874,2026.7294870704245
20230929,b3aae0c1-8e21-4100-9def-5093d454022f,cae7a02f-b2b3-4619-ad4d-620f470a7182,on_demand,subscribed,BF,1725,130,82,208,328,3473.445598734338,497.23384566891536,0.379352,535,419,168,0.9793354806959065,470,192,0.1081448584944964,272,149,0.04361728680219268,57,274,0.6630778616895766,61,94,946,236,827,3296.29993626679
20230930,b3aae0c1-8e21-4100-9def-5093d454022f,a5ce5123-bc8f-432f-af10-5b7046808e77,on_demand,not_subscribed,US,8240,163,368,199,202,2098.1637027769652,1818.7128621865518,0.233488,722,456,213,0.7789253390831823,139,142,0.39832083076668556,464,447,0.7524628182201296,487,465,0.39408874246286707,40,194,102,141,915,6605.824032764515
20230928,b3aae0c1-8e21-4100-9def-5093d454022f,a5ce5123-bc8f-432f-af10-5b7046808e77,on_demand,subscribed,US,6701,235,981,606,280,7328.12794001031,1669.6791589276045,0.550324,412,448,98,0.636244450570521,417,45,0.5237034225254505,353,127,0.6797946234121967,743,25,0.9336093222449499,552,434,419,322,415,9991.279541180233
20230929,b3aae0c1-8e21-4100-9def-5093d454022f,a5e5043e-d12f-4ebd-aa76-f27de0d1bdbb,live,not_subscribed,AL,3570,152,437,589,268,628.127497882246,2465.4291406466277,0.325538,407,109,159,0.02762132405802553,132,51,0.18361623007121752,763,56,0.6609822408383192,262,81,0.29562955438993244,713,498,648,349,349,5315.295182812856
20230930,b3aae0c1-8e21-4100-9def-5093d454022f,723ad3be-64b7-4c4e-8086-85ea199c2979,on_demand,subscribed,US,3247,398,224,186,229,3177.2276563247106,1395.0897830377053,0.493208,410,405,148,0.9306699012129167,8,232,0.6780812308549837,59,208,0.5606041672588316,47,212,0.3243016225765445,240,121,875,328,27,409.0222014979128
20231001,b3aae0c1-8e21-4100-9def-5093d454022f,45fc30f6-2682-42eb-8a7b-cc51d8077c48,live,not_subscribed,US,8585,177,14,751,118,2401.1005221240866,989.0816581954425,0.670816,698,303,90,0.9221906332386315,116,203,0.9225679717957922,377,408,0.8455871538183336,9,213,0.35341739537965855,446,188,934,126,136,1920.9483317155773
20230927,b3aae0c1-8e21-4100-9def-5093d454022f,45fc30f6-2682-42eb-8a7b-cc51d8077c48,live,not_subscribed,US,1032,486,160,81,460,9802.924710332862,1626.026621769402,0.857629,576,184,114,0.6707470028583933,301,173,0.8257487521604039,47,90,0.617705868439814,371,348,0.8663234345642586,248,205,54,171,953,8127.943422701674
20230930,b3aae0c1-8e21-4100-9def-5093d454022f,cae7a02f-b2b3-4619-ad4d-620f470a7182,live,subscribed,US,114,189,166,160,247,5389.633081382558,2869.162160918706,0.777988,168,336,28,0.43682718440566504,161,237,0.41935007678108116,910,400,0.23663782836519998,803,127,0.1206503037698573,329,443,10,6,691,31.931275781339473
20230924,b3aae0c1-8e21-4100-9def-5093d454022f,a5e5043e-d12f-4ebd-aa76-f27de0d1bdbb,on_demand,subscribed,US,3865,55,951,909,21,2184.7212432508154,2035.5014940882058,0.773028,423,353,194,0.6869142580120056,104,57,0.48867353298948035,328,473,0.07919087978570838,342,52,0.7632739260368725,639,141,440,234,80,4843.791498626426
20231001,b3aae0c1-8e21-4100-9def-5093d454022f,45fc30f6-2682-42eb-8a7b-cc51d8077c48,on_demand,not_subscribed,US,3084,415,522,756,455,9085.94839902432,827.6669453046978,0.121405,53,338,14,0.4361542846399291,226,32,0.3444340066926149,379,90,0.7445279561719711,16,342,0.7287573309389188,158,73,287,41,732,3007.6973120736293
20230928,b3aae0c1-8e21-4100-9def-5093d454022f,723ad3be-64b7-4c4e-8086-85ea199c2979,live,subscribed,GE,3092,10,26,876,183,8611.835813644035,2219.2200593276857,0.788156,431,407,30,0.9982999075255713,184,64,0.15030044748703608,390,34,0.17307911586221547,442,89,0.4341199037927267,15,420,846,339,594,7188.099691754982
20231001,b3aae0c1-8e21-4100-9def-5093d454022f,723ad3be-64b7-4c4e-8086-85ea199c2979,on_demand,subscribed,FJ,8858,107,710,686,354,5670.00818768063,1461.5555234793362,0.595692,547,367,211,0.13114959532172865,7,176,0.40298448678070553,483,310,0.9240896639641138,207,38,0.26513890424648856,106,265,712,272,93,969.5607033731123
20230927,b3aae0c1-8e21-4100-9def-5093d454022f,723ad3be-64b7-4c4e-8086-85ea199c2979,live,subscribed,CR,5110,379,857,964,397,3246.182596427365,249.79701535347021,0.557071,791,334,2,0.8392364251711756,365,205,0.6983662891905889,960,239,0.21348796038981044,316,7,0.9508051972000162,479,470,899,270,802,5757.227544096822
20230924,b3aae0c1-8e21-4100-9def-5093d454022f,cae7a02f-b2b3-4619-ad4d-620f470a7182,on_demand,not_subscribed,US,8963,320,466,489,139,4263.374425883454,322.26838866841047,0.143954,792,118,60,0.47643755445602876,319,54,0.3568711889280669,639,464,0.5333545034790939,2,226,0.24971924869107187,225,49,213,441,479,2373.9008210720503
20230927,b3aae0c1-8e21-4100-9def-5093d454022f,723ad3be-64b7-4c4e-8086-85ea199c2979,live,subscribed,US,4839,431,558,41,38,6276.062150435911,675.5952145104789,0.499166,256,345,142,0.7365544306672637,7,93,0.33745008537312426,233,56,0.6715845601891404,535,312,0.41294927040807305,505,322,52,309,875,8387.904645183567
20230928,b3aae0c1-8e21-4100-9def-5093d454022f,45fc30f6-2682-42eb-8a7b-cc51d8077c48,on_demand,subscribed,US,5645,185,635,395,426,4064.608399249042,1156.2922884018785,0.076054,848,103,58,0.7169899483243203,457,207,0.6131283202118823,924,20,0.055850001617570366,874,481,0.22366386562884633,16,306,619,481,811,1523.457389831615
20230926,b3aae0c1-8e21-4100-9def-5093d454022f,45fc30f6-2682-42eb-8a7b-cc51d8077c48,live,not_subscribed,WS,1726,424,26,114,284,5693.100373964957,2134.36220387948,0.466827,4,75,66,0.4550728742510548,346,138,0.13123206637786444,962,213,0.40423217851015303,836,331,0.47865494317069335,70,328,322,489,11,1242.919246430154
