date,channel_id,video_id,live_or_on_demand,subscribed_status,country_code,province_code,views,watch_time_minutes,average_view_duration_seconds,average_view_duration_percentage,annotation_click_through_rate,annotation_close_rate,annotation_impressions,annotation_clickable_impressions,annotation_closable_impressions,annotation_clicks,annotation_closes,card_click_rate,card_teaser_click_rate,card_impressions,card_teaser_impressions,card_clicks,card_teaser_clicks,red_views,red_watch_time_minutes
20231001,b3aae0c1-8e21-4100-9def-5093d454022f,a5e5043e-d12f-4ebd-aa76-f27de0d1bdbb,live,subscribed,US,US-OH,7683,333.106345,545.099131,0.044167,0.431128,0.712075,211,489,181,547,569,0.644492,0.376491,725,182,232,1000,621,779.141433
20230927,b3aae0c1-8e21-4100-9def-5093d454022f,723ad3be-64b7-4c4e-8086-85ea199c2979,on_demand,subscribed,US,US-IA,7386,767.825432,128.144393,0.600651,0.582579,0.523417,512,685,722,492,28,0.756777,0.96213,249,745,429,466,754,431.044731
20230930,b3aae0c1-8e21-4100-9def-5093d454022f,45fc30f6-2682-42eb-8a7b-cc51d8077c48,live,subscribed,US,US-FM,6725,968.311058,831.013632,0.12468,0.822621,0.438224,507,330,145,834,363,0.723789,0.272944,849,878,434,786,250,923.081364
20230929,b3aae0c1-8e21-4100-9def-5093d454022f,a5ce5123-bc8f-432f-af10-5b7046808e77,on_demand,not_subscribed,US,US-NE,2170,481.720348,234.421958,0.76455,0.181894,0.587729,690,102,64,412,781,0.412281,0.68799,201,89,634,412,120,38.347599
20230929,b3aae0c1-8e21-4100-9def-5093d454022f,cae7a02f-b2b3-4619-ad4d-620f470a7182,live,not_subscribed,US,US-NC,7438,319.032829,703.706284,0.938591,0.376249,0.818934,405,294,633,773,171,0.813414,0.017649,594,892,408,860,817,314.543715
20230928,b3aae0c1-8e21-4100-9def-5093d454022f,a5e5043e-d12f-4ebd-aa76-f27de0d1bdbb,live,subscribed,US,US-OK,4209,44.794395,400.410353,0.041532,0.835647,0.604246,191,50,624,878,64,0.293555,0.127896,860,470,603,72,117,833.105314
20230929,b3aae0c1-8e21-4100-9def-5093d454022f,a5e5043e-d12f-4ebd-aa76-f27de0d1bdbb,on_demand,not_subscribed,US,US-HI,3540,837.027165,246.864265,0.642891,0.480859,0.603987,561,239,605,689,763,0.082676,0.849202,688,437,899,248,726,587.306701
20230928,b3aae0c1-8e21-4100-9def-5093d454022f,a5e5043e-d12f-4ebd-aa76-f27de0d1bdbb,on_demand,not_subscribed,US,US-NY,8544,445.579961,590.447698,0.078767,0.387985,0.863529,302,677,446,496,106,0.278715,0.447681,396,192,811,607,192,31.870301
20231001,b3aae0c1-8e21-4100-9def-5093d454022f,a5e5043e-d12f-4ebd-aa76-f27de0d1bdbb,on_demand,not_subscribed,US,US-IL,3175,360.569197,257.771374,0.998039,0.379247,0.960025,694,500,594,339,230,0.731094,0.517901,217,702,913,211,175,353.659144
20230929,b3aae0c1-8e21-4100-9def-5093d454022f,a5e5043e-d12f-4ebd-aa76-f27de0d1bdbb,live,subscribed,US,US-OR,9279,504.544329,703.668385,0.917431,0.337749,0.137036,90,274,237,939,751,0.299738,0.66182,598,958,614,295,550,44.587334
20230925,b3aae0c1-8e21-4100-9def-5093d454022f,cae7a02f-b2b3-4619-ad4d-620f470a7182,on_demand,not_subscribed,US,US-NH,1623,567.048493,893.591527,0.544155,0.519713,0.204452,201,847,213,308,512,0.9348,0.690215,548,475,64,902,54,453.546256
